t,bgx,bgy,bgz
78.35000000000001,4.0715447515555455e-05,-6.648787603046933e-05,2.5202477859064473e-05
78.36,3.733904532992965e-05,-7.464060303756872e-05,2.5045114761989444e-05
78.37,2.9612957868497926e-05,-6.8318892464075e-05,1.7458429697498118e-05
78.38,2.936541627232967e-05,-6.815572867990851e-05,2.259434092462012e-05
78.39,2.2126192516458837e-05,-6.711943020806899e-05,2.3327416387737497e-05
78.4,2.411078162103913e-05,-7.483113708295142e-05,3.0174988884986307e-05
78.41,2.3897595356908936e-05,-7.15677739853365e-05,3.392026829714337e-05
78.42,2.674527737945346e-05,-7.138432433637845e-05,3.5019701935005385e-05
78.43,2.5641487971862713e-05,-6.989078992637347e-05,2.868196622521622e-05
78.44,2.978951142230521e-05,-6.840658107561237e-05,2.9377030839694957e-05
78.45,2.8229637221871362e-05,-7.392486735362964e-05,3.225313918995832e-05
78.46000000000001,2.4494119116399557e-05,-6.76076258003867e-05,3.642251946583993e-05
78.47,1.8159464987660233e-05,-6.657474965738037e-05,3.226140831561334e-05
78.48,1.4049747830889953e-05,-5.986632515908267e-05,2.3755511575781135e-05
78.49,1.4336458930178793e-05,-5.363686448804754e-05,2.273302979400078e-05
78.5,1.9866300667145792e-05,-5.225414439014374e-05,2.3902316027650127e-05
78.51,2.0116693481628908e-05,-4.956882771997923e-05,2.2441840868346484e-05
78.52,1.59947554813668e-05,-4.864858499141617e-05,2.623540569628496e-05
78.53,2.1951319629328085e-05,-4.380039757924462e-05,2.5197439571201625e-05
78.54,1.606961935943695e-05,-3.9419558760673706e-05,2.4165954458224722e-05
78.55,1.7217871949782422e-05,-4.686714560444135e-05,2.2703833152848503e-05
78.56,2.0107261853945647e-05,-3.809639078045692e-05,3.17406829615925e-05
78.57000000000001,2.123030359274599e-05,-3.637362793868866e-05,3.023126540449197e-05
78.58,2.2346333111273143e-05,-3.5098698685176435e-05,2.8294195842897262e-05
78.59,2.127001050666241e-05,-2.5964348757871734e-05,2.636922125336023e-05
78.60000000000001,2.194871535970145e-05,-2.38802610836617e-05,2.2707959165966156e-05
78.61,1.6504108088116802e-05,-2.6617030466802613e-05,1.9069557828397918e-05
78.62,1.3715957114777313e-05,-2.0158100104740543e-05,1.6328027973935573e-05
78.63,8.322754801953132e-06,-2.2918110487547544e-05,1.5788999790945598e-05
78.64,3.8373808677346165e-06,-2.9157501393111554e-05,1.2630876850597263e-05
78.65,6.810317934562498e-06,-3.360962688320022e-05,1.2552010244269032e-05
78.66,1.0201768858278779e-05,-3.934518372134278e-05,1.3784866289459506e-05
78.67,8.327122872080803e-06,-3.980000716149791e-05,2.2877405711594154e-05
78.68,1.1272026199096046e-05,-4.7245218503183136e-05,2.1860406781902122e-05
78.69,1.0701927788050617e-05,-4.852486796910984e-05,2.7842985744017427e-05
78.7,1.1009542519648316e-05,-5.285606452499205e-05,2.5046675014570878e-05
78.71000000000001,1.4374773680777086e-05,-4.972991275619231e-05,3.144643580371848e-05
78.72,2.2526836606436387e-05,-5.2742354856485326e-05,2.2945627714265476e-05
78.73,1.9264003259573696e-05,-5.2239373509765244e-05,2.4987739971146132e-05
78.74,1.339908246784211e-05,-4.8242918856184746e-05,2.6142947899539227e-05
78.75,1.150447260448969e-05,-4.601972482866328e-05,2.816509623820701e-05
78.76,1.1369999546291057e-05,-3.856549147260996e-05,2.4929697528479768e-05
78.77,2.1289131091069426e-05,-4.601841107271703e-05,2.4336960921706655e-05
78.78,1.8034025919756437e-05,-4.8179874141795726e-05,2.9866999657834563e-05
78.79,2.2666626746044213e-05,-4.202338312621845e-05,2.9680511504056827e-05
78.8,2.3336611192379478e-05,-3.284579579201667e-05,3.0369341248355704e-05
78.81,1.5260877539694488e-05,-3.50895080569453e-05,3.236510018394155e-05
78.82000000000001,2.0347870512581602e-05,-4.212705479811944e-05,4.0467472016909185e-05
78.83,2.278064011423657e-05,-3.51342038296716e-05,4.0651871745167305e-05
78.84,1.6019608131154846e-05,-2.599963220989953e-05,5.1324961786954365e-05
