t,Vx,Vy,Vz
59.25,0.5198862350141551,0.8478787547081215,-8.25310701218321
59.26,0.5203832504363929,0.8412453917049445,-8.226868847367797
59.27,0.5208734653279218,0.834698641628788,-8.201152248943993
59.28,0.5213570116686758,0.8282368228875577,-8.175945262265811
59.29,0.5218340178168092,0.821858299920509,-8.151236263759882
59.300000000000004,0.52230460863403,0.8155614816093337,-8.127013949691051
59.31,0.5227689056056427,0.8093448197561616,-8.103267325398495
59.32,0.5232270269557484,0.8032068076228767,-8.079985694962852
59.33,0.5236790877579286,0.7971459785276138,-8.057158651275126
59.34,0.5241252000411604,0.7911609045015823,-8.034776066529755
59.35,0.5245654728919827,0.7852501949933695,-8.012828083051172
59.36,0.5250000125521651,0.7794124956301746,-7.991305104520778
59.370000000000005,0.5254289225127421,0.7736464870250465,-7.970197787526988
59.38,0.5258523036042881,0.7679508836317289,-7.949497033449864
59.39,0.5262702540838203,0.7623244326421987,-7.929193980645881
59.4,0.5266828697181882,0.7567659129286857,-7.909279996945119
59.410000000000004,0.5270902438643049,0.7512741340256903,-7.889746672429715
59.42,0.527492467546348,0.7458479351503788,-7.870585812481755
59.43,0.5278896295299913,0.7404861842605821,-7.851789431095622
59.44,0.5282818163938836,0.7351877771476444,-7.833349744435054
59.45,0.5286691125983567,0.729951636564402,-7.815259164637182
59.46,0.5290516005516802,0.7247767113842,-7.7975102938344625
59.47,0.529429360673617,0.7196619757941356,-7.780095918417869
59.480000000000004,0.529802471457692,0.7146064285045333,-7.763009003410844
59.49,0.5301710095287104,0.7096090920187451,-7.746242687274791
59.5,0.5305350497012832,0.704669011890019,-7.729790276613861
59.51,0.5308946650340204,0.6997852560333746,-7.713645241273403
59.52,0.5312499268827113,0.6949569140502679,-7.697801209525425
59.53,0.5316009049513114,0.6901830965810782,-7.682251963450133
59.54,0.5319476673411786,0.6854629346797461,-7.666991434473156
59.550000000000004,0.5322902805986046,0.680795579210052,-7.652013699054674
59.56,0.5326288097606607,0.6761802002632336,-7.637312974528606
59.57,0.5329633183994043,0.6716159865963978,-7.622883615087969
59.58,0.5332938686645294,0.6671021450906371,-7.608720107908799
59.59,0.5336205213246584,0.6626379002263997,-7.594817069394969
59.6,0.5339433358068175,0.6582224935818628,-7.581169241585586
59.61,0.5342623702354914,0.6538551833366358,-7.567771488598264
59.620000000000005,0.5345776814691984,0.6495352438069213,-7.554618793295413
59.63,0.5348893251363739,0.6452619649894439,-7.541706254011178
59.64,0.5351973556703618,0.6410346521166675,-7.5290290813574
59.65,0.5355018263426349,0.6368526252344999,-7.5165825951886935
59.660000000000004,0.5358027892951676,0.6327152187907352,-7.50436222164247
59.67,0.5361002955718369,0.628621781235811,-7.492363490265493
59.68,0.5363943951486014,0.6245716746390877,-7.480582031250093
59.69,0.5366851369627923,0.6205642743163705,-7.46901357274903
59.7,0.5369725689414186,0.6165989684699433,-7.457653938278742
59.71,0.5372567380285966,0.6126751578397223,-7.446499044200494
59.72,0.5375376902119775,0.6087922553671022,-7.435544897291385
59.730000000000004,0.537815470548325,0.6049496858696033,-7.424787592391229
59.74,0.5380901231886035,0.6011468857217157,-7.414223310092334
59.75,0.5383616914015392,0.5973833025551458,-7.403848314568525
59.76,0.5386302175982633,0.5936583949452215,-7.393658951298045
59.77,0.5388957433521177,0.5899716321589706,-7.383651645240943
59.78,0.5391583094232787,0.586322493841662,-7.373822898556156
59.79,0.5394179557785211,0.5827104697653239,-7.364169288775568
59.800000000000004,0.5396747216119219,0.57913505956523,-7.354687466885472
59.81,0.539928645364774,0.5755957724863962,-7.345374155479533
59.82,0.5401797647447704,0.5720921271393911,-7.336226146977953
59.83,0.5404281167445969,0.5686236512636087,-7.327240301899163
59.84,0.5406737376600801,0.5651898814962264,-7.318413547171736
59.85,0.5409166631082414,0.5617903631422749,-7.309742874450946
59.86,0.5411569280428498,0.558424649976651,-7.30122533867154
59.870000000000005,0.5413945667690812,0.5550923040574919,-7.292858056682772
59.88,0.541629612967942,0.5517928954147904,-7.284638204946618
59.89,0.5418620997080427,0.5485260019005768,-7.276563018449265
59.9,0.5420920594514272,0.5452912091149543,-7.268629790166389
59.910000000000004,0.542319524078143,0.5420881100927635,-7.260835868741893
59.92,0.5425445248975181,0.5389163051599835,-7.253178657433451
59.93,0.5427670926625265,0.5357754017506812,-7.245655612760828
59.94,0.542987257582685,0.5326650142426651,-7.238264243291994
59.95,0.5432050493372084,0.5295847637898398,-7.231002108402778
59.96,0.5434204970873853,0.5265342781644721,-7.223866817108675
59.97,0.5436336294889029,0.5235131916000884,-7.216856026899745
59.980000000000004,0.5438444747037502,0.5205211446397456,-7.209967442613987
59.99,0.5440530604117055,0.5175577839895716,-7.203198815348562
60.0,0.5442594138215904,0.5146227623752883,-7.196547941391802
60.01,0.544463561682128,0.5117157384037523,-7.190012661191361
60.02,0.5446655302925522,0.5088363764276663,-7.18359085834458
60.03,0.5448653455128848,0.505984346414521,-7.177280458619251
60.04,0.5450630327739383,0.503159323819008,-7.171079428999124
60.050000000000004,0.5452586170870326,0.5003609894590818,-7.164985776755446
60.06,0.5454521230534539,0.4975890293953041,-7.158997548541871
60.07,0.5456435748736481,0.4948431348135481,-7.15311282951352
60.08,0.5458329963561493,0.49212300191109143,-7.147329742470265
60.09,0.546020410926258,0.48942833178588185,-7.1416464470227945
60.1,0.5462058416345347,0.4867588303281422,-7.1360611387752115
60.11,0.5463893111650093,0.4841142081156163,-7.13057204853398
60.120000000000005,0.5465708418431706,0.4814941803115902,-7.125177441536859
60.13,0.5467504556437687,0.4788984665652971,-7.119875616698706
60.14,0.5469281741983885,0.4763267909152445,-7.114664905878542
60.15,0.5471040188028249,0.47377888169505084,-7.109543673164581
60.160000000000004,0.5472780104242648,0.47125447144176386,-7.10451031417716
60.17,0.5474501697082775,0.4687532968065858,-7.09956325538899
60.18,0.5476205169856131,0.46627509846807236,-7.094700953463414
60.19,0.5477890722788102,0.4638196210477316,-7.089921894609974
60.2,0.5479558553086985,0.4613866130269878,-7.085224593949587
60.21,0.5481208855006444,0.45897582666739756,-7.080607594903613
60.22,0.5482841819906822,0.4565870179323287,-7.076069468593459
60.230000000000004,0.5484457636314698,0.45421994641087293,-7.0716088132563595
60.24,0.5486056489980905,0.4518743752437288,-7.067224253675479
